Model,Configuration,Cores,Frequency (MHz),Memory (MB),Storage (MB),Threads,Cache (KB),Bandwidth (MB/s),Power (W),Cost,Type
adviser,32/60,125,256,6000,256,16,128,198,199,199,High-Performance
amdahl,470v/7,29,8000,32000,32,8,32,269,253,253,High-Performance
amdahl,470v/7a,29,8000,32000,32,8,32,220,253,253,High-Performance
amdahl,470v/7b,29,8000,32000,32,8,32,172,253,253,High-Performance
amdahl,470v/7c,29,8000,16000,32,8,16,132,132,132,Standard
amdahl,470v/b,26,8000,32000,64,8,32,318,290,290,High-Performance
amdahl,580-5840,23,16000,32000,64,16,32,367,381,381,High-Performance
amdahl,580-5850,23,16000,32000,64,16,32,489,381,381,High-Performance
amdahl,580-5860,23,16000,64000,64,16,32,636,749,749,High-Performance
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238,1238,High-Performance
apollo,dn320,400,1000,3000,0,1,2,38,23,23,Standard
apollo,dn420,400,512,3500,4,1,6,40,24,24,Standard
basf,7/65,60,2000,8000,65,1,8,92,70,70,Standard
basf,7/68,50,4000,16000,65,1,8,138,117,117,Standard
bti,5000,350,64,64,0,1,4,10,15,15,Standard
bti,8000,200,512,16000,0,4,32,35,64,64,Standard
burroughs,b1955,167,524,2000,8,4,15,19,23,23,Standard
burroughs,b2900,143,512,5000,0,7,32,28,29,29,Standard
burroughs,b2925,143,1000,2000,0,5,16,31,22,22,Standard
burroughs,b4955,110,5000,5000,142,8,64,120,124,124,High-Performance
burroughs,b5900,143,1500,6300,0,5,32,30,35,35,Standard
burroughs,b5920,143,3100,6200,0,5,20,33,39,39,Standard
burroughs,b6900,143,2300,6200,0,6,64,61,40,40,Standard
burroughs,b6925,110,3100,6200,0,6,64,76,45,45,Standard
c.r.d,68/10-80,320,128,6000,0,1,12,23,28,28,High-Performance
c.r.d,universe:2203t,320,512,2000,4,1,3,69,21,21,High-Performance
c.r.d,universe:68,320,256,6000,0,1,6,33,28,28,High-Performance
c.r.d,universe:68/05,320,256,3000,4,1,3,27,22,22,Standard
c.r.d,universe:68/137,320,512,5000,4,1,5,77,28,28,Standard
c.r.d,universe:68/37,320,256,5000,4,1,6,27,27,27,Standard
cdc,cyber:170/750,25,1310,2620,131,12,24,274,102,102,High-Performance
cdc,cyber:170/760,25,1310,2620,131,12,24,368,102,102,High-Performance
cdc,cyber:170/815,50,2620,10480,30,12,24,32,74,74,Standard
cdc,cyber:170/825,50,2620,10480,30,12,24,63,74,74,Standard
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138,138,Standard
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136,136,Standard
cdc,omega:480-i,50,500,2000,8,1,4,20,23,23,Standard
cdc,omega:480-ii,50,1000,4000,8,1,5,29,29,29,Standard
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44,44,Standard
cambex,1636-1,50,1000,4000,8,3,5,26,30,30,High-Performance
cambex,1636-10,50,1000,8000,8,3,5,36,41,41,High-Performance
cambex,1641-1,50,2000,16000,8,3,5,40,74,74,High-Performance
cambex,1641-11,50,2000,16000,8,3,6,52,74,74,High-Performance
cambex,1651-1,50,2000,16000,8,3,6,60,74,74,High-Performance
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54,54,High-Performance
dec,decsys:20:2060,133,1000,8000,9,3,12,72,41,41,Standard
dec,microvax-1,810,512,512,8,1,1,18,18,18,Standard
dec,vax:11/730,810,1000,5000,0,1,1,20,28,28,Standard
dec,vax:11/750,320,512,8000,4,1,5,40,36,36,Standard
